id,name,kategorie,themen,karriere,rolle,budget_min,budget_max,dauerJahre,frist,rolling,status,quelle,standDatum,hinweis
erc-stg-2027,ERC Starting Grant (StG) 2027,ERC,frei,postdoc; junior,lead,0,1500000,5,2026-10-14,False,verifiziert,https://erc.europa.eu/apply-grant/starting-grants,2026-08-03,
erc-adg-2027,ERC Advanced Grant (AdG) 2027,ERC,frei,prof; senior,lead,0,2500000,5,2026-08-27,False,verifiziert,https://erc.europa.eu/apply-grant/advanced-grants,2026-08-03,
erc-syg-2027,ERC Synergy Grant (SyG) 2027,ERC,frei,prof; senior; postdoc; junior,lead; partner,0,10000000,6,2027-05-11,False,verifiziert,https://erc.europa.eu/apply-grant/synergy-grants,2026-08-03,
dfg-sachbeihilfe,DFG – Sachbeihilfe (Einzelprojekte),DFG,frei,postdoc; junior; prof,lead; partner,30000,400000,3,,True,laufend,https://www.dfg.de/foerderung/foerdermoeglichkeiten/einzelfoerderung,2026-08-03,
dfg-emmy-noether,DFG – Emmy Noether-Programm (Nachwuchsgruppenleitung),DFG,frei,postdoc,lead,0,1500000,6,2026-10-01,False,zu-pruefen,https://www.dfg.de/foerderung/foerdermoeglichkeiten/einzelfoerderung/emmy-noether,2026-08-03,Stichtage 1.2. / 1.10.; naechster Stichtag vor Portalbesuch bestaetigen.
dfg-heisenberg,DFG – Heisenberg-Programm (Etablierte Forschende),DFG,frei,prof; senior,lead,0,1200000,5,2026-10-01,False,zu-pruefen,https://www.dfg.de/foerderung/foerdermoeglichkeiten/personenfoerderung/heisenberg,2026-08-03,Stichtage 1.2. / 1.10.; fuer etablierte PostDocs/Professoren.
dfg-graduiertenkolleg,DFG – Graduiertenkolleg (Graduiertenkollegs),DFG,frei,student; junior; postdoc,lead; partner,0,3000000,8,2026-09-15,False,zu-pruefen,https://www.dfg.de/foerderung/foerdermoeglichkeiten/verbundfoerderung/graduiertenkollegs,2026-08-03,Forschungsausbildung in thematisch fokussierten Kollegs; Stichtag je Runde.
dfg-sfb,DFG – Sonderforschungsbereich (SFB/Transregio),DFG,frei,prof; senior; postdoc,lead; partner,0,10000000,8,2026-11-01,False,zu-pruefen,https://www.dfg.de/foerderung/foerdermoeglichkeiten/verbundfoerderung/sonderforschungsbereiche,2026-08-03,Großverbünde; mehrere Antragsrunden; thematisch fokussiert.
bmbf-digital-ai,BMBF – KI-Forschungsverbünde (Digital/KI),BMBF,Digital; KI; Informatik; Maschinelles Lernen,prof; senior; postdoc,lead; partner,500000,5000000,4,2026-12-15,False,zu-pruefen,https://www.bmbf.de/bmbf/de/forschung/foerderung/bekanntmachungen,2026-08-03,Bundesförderung KI-Verbünde; thematisch fokussiert auf Digital/KI.
bmbf-energie-nachhaltigkeit,BMBF – Energieforschung (Nachhaltigkeit/Energie),BMBF,Energie; Nachhaltigkeit; Klimawandel; Erneuerbare,prof; senior; postdoc; junior,lead; partner,300000,4000000,5,2027-02-28,False,zu-pruefen,https://www.bmbf.de/bmbf/de/forschung/foerderung/bekanntmachungen,2026-08-03,Bundesprogramm Energieforschung; thematisch fokussiert.
bmbf-gesundheit-medizin,BMBF – Gesundheitsforschung (Medizin/Public Health),BMBF,Medizin; Gesundheit; Public Health; Pflege,prof; senior; postdoc; junior,lead; partner,200000,3000000,4,2026-11-30,False,zu-pruefen,https://www.bmbf.de/bmbf/de/forschung/foerderung/bekanntmachungen,2026-08-03,Bundesprogramm Gesundheitsforschung; thematisch fokussiert.
loewe-hessen,LOEWE – Exzellenzforschung (Hessen),Land,frei,prof; senior; postdoc; junior,lead; partner,0,1000000,4,,False,zu-pruefen,https://wissenschaft.hessen.de/forschung/loewe,2026-08-03,Jaehrliche LOEWE-Runde mit Stichtag; aktueller Stichtag via Landesportal pruefen.
volkswagen-stiftung,VolkswagenStiftung – Explorationsfonds,Stiftung,frei,postdoc; junior; prof,lead,0,250000,2,2026-10-15,False,zu-pruefen,https://www.volkswagenstiftung.de/foerdern/unsere-programme,2026-08-03,Zweimal jährl. Antragsrunden; themenoffen; explorative Forschung.
dbu-umwelt,DBU – Umweltforschung (Ökologie/Nachhaltigkeit),Stiftung,Umwelt; Ökologie; Nachhaltigkeit; Klimawandel,postdoc; junior; prof,lead,0,300000,3,2026-12-01,False,zu-pruefen,https://www.dbu.de/foerderung,2026-08-03,Deutsche Bundesstiftung Umwelt; thematisch fokussiert auf Umwelt.
krebshilfe-onkologie,Deutsche Krebshilfe – Forschungsprojekte (Onkologie),Stiftung,Medizin; Onkologie; Krebsforschung; Gesundheit,postdoc; junior; prof,lead,0,500000,3,2026-10-01,False,zu-pruefen,https://www.krebshilfe.de/forschung,2026-08-03,"Festfristen: 1.10., 1.2., 1.5., 1.8.; thematisch Onkologie."
carl-zeiss-technik,Carl-Zeiss-Stiftung – Technik/Ingenieurwissenschaften,Stiftung,Technik; Ingenieurwissenschaften; Optik; Digital,prof; senior; postdoc,lead,0,400000,3,2026-11-15,False,zu-pruefen,https://www.carl-zeiss-stiftung.de,2026-08-03,Thematisch fokussiert auf Technik/Ingenieurwissenschaften.
humboldt-prof,Alexander-von-Humboldt-Stiftung – Humboldt-Professur,Stiftung,frei,prof; senior,lead,0,5000000,5,,True,laufend,https://www.humboldt-foundation.de,2026-08-03,Rolling; für international herausragende Professor*innen; themenoffen.
aif-industrie,AiF – Industrielle Gemeinschaftsforschung (Anwendung),Industrie,Technik; Digital; Innovation; Anwendung,prof; senior; postdoc,lead; partner,100000,800000,2,,True,laufend,https://www.aif.de,2026-08-03,Rolling; angewandte Forschung mit Industrie; thematisch Technik/Digital.
zim-kmu,ZIM – Zentrum für Innovation und Mittelstand (KMU-Partnerschaft),Industrie,Digital; Technik; Innovation; Nachhaltigkeit,prof; senior; postdoc,lead; partner,50000,450000,2,,True,laufend,https://www.zim.de,2026-08-03,Rolling; KMU-Partnerschaften; thematisch Digital/Technik/Nachhaltigkeit.
cost-netzwerk,COST – European Cooperation in Science (Netzwerke),EU,frei,postdoc; junior; prof; senior,lead; partner,0,500000,4,2026-09-10,False,zu-pruefen,https://www.cost.eu,2026-08-03,Netzwerk-Förderung; zwei Antragsrunden; themenoffen.
eu-horizon-climate,EU Horizon Europe – Klima/Energie (Cluster 5),EU,Klimawandel; Energie; Nachhaltigkeit; Umwelt,prof; senior; postdoc,lead; partner,1000000,15000000,4,2026-10-20,False,zu-pruefen,https://ec.europa.eu/info/funding-tenders,2026-08-03,Horizon Europe Cluster 5 (Klima/Energie); internationale Konsortien.
eu-horizon-digital,EU Horizon Europe – Digital/Industrie (Cluster 4),EU,Digital; KI; Informatik; Technik,prof; senior; postdoc,lead; partner,1000000,20000000,4,2026-11-08,False,zu-pruefen,https://ec.europa.eu/info/funding-tenders,2026-08-03,Horizon Europe Cluster 4 (Digital); internationale Konsortien.
daad-stipendium,DAAD – Forschungsstipendium (Promovierende/PostDocs),Stiftung,frei,student; junior; postdoc,lead,0,60000,2,2026-12-31,False,zu-pruefen,https://www.daad.de,2026-08-03,Forschungsaufenthalte im Ausland; themenoffen; für Promovierende/PostDocs.
studienstiftung-promotion,Studienstiftung – Promotionsstipendium (Studenten),Stiftung,frei,student,lead,0,30000,3,,True,laufend,https://www.studienstiftung.de,2026-08-03,Rolling; für herausragende Studierende; themenoffen.
